city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Sisimiut,88,GL,1538155597,91,66.94,-53.67,31.7,7.38
Irpa Irpa,75,BO,1538154000,25,-17.72,-66.29,75.2,5.82
Tarakan,64,ID,1538155597,100,3.3,117.63,79.22,1.9
Liverpool,20,CA,1538155597,92,44.04,-64.71,68.15,7.27
Lagoa,0,PT,1538154000,65,37.14,-8.45,78.8,6.93
Oster,8,UA,1538152200,67,50.95,30.88,60.8,4.47
Kruisfontein,0,ZA,1538155598,77,-34.0,24.73,62.48,28.41
Roma,8,AU,1538155598,33,-26.57,148.79,62.93,11.07
Great Bend,90,US,1538154240,67,38.36,-98.78,57.2,23.04
Riachao,0,BR,1538155599,36,-7.36,-46.62,97.04,4.81
Cobija,75,BO,1538154000,59,-11.03,-68.77,91.4,5.82
Borovikha,0,RU,1538152200,48,53.51,83.84,60.8,6.71
Talnakh,24,RU,1538155599,79,69.49,88.39,46.1,8.16
Pevek,64,RU,1538155600,93,69.7,170.27,42.32,15.21
Naustdal,40,NO,1538153400,100,61.51,5.72,46.4,3.36
Usinsk,92,RU,1538155601,96,66.0,57.56,38.45,4.03
Metro,8,ID,1538155601,100,-5.11,105.31,73.64,3.13
Ganzhou,20,CN,1538155602,73,25.86,114.93,69.5,6.93
Felanitx,20,ES,1538154000,57,39.47,3.15,77.0,6.93
Okhotsk,0,RU,1538155602,90,59.36,143.24,42.32,16.55
Swan Hill,0,AU,1538155603,67,-35.34,143.56,43.94,10.51
Lopsmarka,40,NO,1538153400,86,67.31,14.45,37.4,5.82
Ancud,92,CL,1538155603,95,-41.87,-73.83,52.31,8.84
Yarada,0,IN,1538155603,96,17.65,83.27,86.06,7.72
Vardo,20,NO,1538153400,80,70.37,31.11,33.8,13.87
Tromso,75,NO,1538153400,100,69.65,18.96,35.6,8.05
Nuuk,75,GL,1538153400,100,64.17,-51.74,37.4,10.29
Tilichiki,32,RU,1538155604,83,60.47,166.1,27.38,2.8
Tanabe,92,JP,1538155604,91,33.73,135.39,69.14,7.16
Wollongong,75,AU,1538154000,82,-34.42,150.89,59.0,18.34
Penzance,20,GB,1538153400,67,50.12,-5.53,59.0,6.93
Alofi,75,NU,1538154000,78,-19.06,-169.92,73.4,10.29
Whitehorse,90,CA,1538154000,72,60.72,-135.06,33.8,2.24
Severo-Kurilsk,68,RU,1538155605,100,50.68,156.12,44.75,8.39
Benguela,0,AO,1538155605,96,-12.58,13.4,70.49,2.68
Caraquet,90,CA,1538154420,87,47.79,-64.94,51.8,5.82
Pisco,90,PE,1538154000,30,-13.71,-76.2,71.6,8.05
Concepcion,12,PY,1538155606,73,-23.41,-57.43,87.77,6.82
Ekhabi,0,RU,1538155606,80,53.51,142.97,50.42,12.75
Sidareja,56,ID,1538155606,91,-7.48,108.79,64.46,1.9
Gimli,24,CA,1538155326,96,50.63,-96.99,38.45,16.33
Te Anau,32,NZ,1538155606,72,-45.41,167.72,44.93,17.56
Tarata,24,PE,1538155491,51,-17.47,-70.03,60.14,2.68
Arlit,0,NE,1538155606,17,18.74,7.39,91.19,3.69
Galashki,24,RU,1538155607,91,43.1,44.99,46.28,3.13
Merauke,8,ID,1538155607,91,-8.49,140.4,74.72,18.45
Le Port,0,RE,1538154000,73,-20.94,55.29,71.6,19.46
Bay City,90,US,1538154900,81,43.59,-83.89,59.54,4.7
Ballina,0,AU,1538155608,100,-28.87,153.57,68.42,15.99
Manicore,20,BR,1538150400,62,-5.81,-61.3,89.6,6.93
Grindavik,75,IS,1538152200,81,63.84,-22.43,46.4,29.97
Tibati,92,CM,1538155608,99,6.47,12.63,66.08,4.36
Alice Springs,48,AU,1538154000,36,-23.7,133.88,64.4,11.41
Nata,100,BW,1538155609,29,-20.21,26.19,84.35,3.13
Port-Gentil,75,GA,1538154000,83,-0.72,8.78,80.6,11.41
Alexandria,0,EG,1538154000,61,31.2,29.89,82.4,9.17
San Juan,0,AR,1538155609,46,-31.54,-68.53,84.44,8.61
